store_id,store_code,store_name,store_format_id,state_id,city,zip_code,address,opening_date,status,manager_name,phone
1,CA-SF-001,San Francisco Downtown,3,01,San Francisco,94105,101 Market St, San Francisco, CA 94105,2018-03-15,ACTIVE,Michael Chen,415-555-0101
2,CA-LA-002,Los Angeles Beverly Hills,3,01,Los Angeles,90212,9876 Wilshire Blvd, Los Angeles, CA 90212,2019-05-22,ACTIVE,Jennifer Martinez,323-555-0102
3,CA-SD-003,San Diego Gaslamp,2,01,San Diego,92101,555 Fifth Ave, San Diego, CA 92101,2020-01-10,ACTIVE,Robert Taylor,619-555-0103
4,CA-OC-004,Orange County Fashion,2,01,Irvine,92614,550 Fashion Ln, Irvine, CA 92614,2020-08-05,ACTIVE,Patricia Anderson,949-555-0104
5,CA-SJ-005,San Jose Valley Fair,2,01,San Jose,95110,2855 Stevens Creek Blvd, San Jose, CA 95110,2021-02-14,ACTIVE,David Thompson,408-555-0105
6,WA-SEA-006,Seattle Pike Place,3,02,Seattle,98101,401 Pike St, Seattle, WA 98101,2018-09-20,ACTIVE,Elizabeth Brown,206-555-0106
7,WA-TAC-007,Tacoma Downtown,2,02,Tacoma,98402,1010 Broadway, Tacoma, WA 98402,2019-11-03,ACTIVE,James Wilson,253-555-0107
8,WA-SPO-008,Spokane Valley,1,02,Spokane,99216,11000 E Sprague Ave, Spokane, WA 99216,2021-06-18,ACTIVE,Margaret Davis,509-555-0108
9,TX-DAL-009,Dallas Downtown,3,03,Dallas,75201,100 N Houston St, Dallas, TX 75201,2018-07-12,ACTIVE,Christopher Harris,214-555-0109
10,TX-HOU-010,Houston Midtown,3,03,Houston,77002,901 Main St, Houston, TX 77002,2019-03-08,ACTIVE,Lisa Garcia,713-555-0110
11,TX-AUS-011,Austin 6th Street,2,03,Austin,78701,501 Congress Ave, Austin, TX 78701,2020-02-25,ACTIVE,Kevin Moore,512-555-0111
12,TX-SAN-012,San Antonio Alamo,2,03,San Antonio,78202,300 Alamo Plz, San Antonio, TX 78202,2020-10-14,ACTIVE,Sandra Jackson,210-555-0112
13,TX-ARL-013,Arlington Town Center,2,03,Arlington,76010,1200 East Lamar Blvd, Arlington, TX 76010,2021-01-30,ACTIVE,Matthew White,817-555-0113
14,TX-FOR-014,Fort Worth Clearfork,1,03,Fort Worth,76102,2510 W 7th St, Fort Worth, TX 76102,2021-05-22,ACTIVE,Angela Martin,817-555-0114
15,IL-CHI-015,Chicago Loop,3,04,Chicago,60601,233 S Wacker Dr, Chicago, IL 60601,2018-02-10,ACTIVE,Thomas Rodriguez,312-555-0115
16,IL-CHI-016,Chicago Northbrook,2,04,Northbrook,60062,2171 Northbrook Court, Northbrook, IL 60062,2019-04-15,ACTIVE,Barbara Lee,847-555-0116
17,IL-OAK-017,Oak Brook,2,04,Oak Brook,60523,3000 Lacey Rd, Oak Brook, IL 60523,2020-06-03,ACTIVE,Richard Clark,630-555-0117
18,IL-AUR-018,Aurora,1,04,Aurora,60505,1 Aurora Plaza, Aurora, IL 60505,2021-08-12,ACTIVE,Karen Lewis,331-555-0118
19,IL-NAP-019,Naperville,2,04,Naperville,60540,131 S Washington St, Naperville, IL 60540,2021-09-27,ACTIVE,Jason Walker,630-555-0119
